category,section,title,url,description,source,stars,github_url
Agents & Tools,Messages,Overview,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview.md,Agent Skills,Claude Developer Platform,,
Build with Claude,Messages,Features overview,https://platform.claude.com/docs/en/build-with-claude/overview.md,,Claude Developer Platform,,
Agents & Tools,Messages,Quickstart,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/quickstart.md,Get started with Agent Skills in the API,Claude Developer Platform,,
Claude Developer Platform,Messages,Quickstart,https://platform.claude.com/docs/en/get-started.md,Get started with Claude,Claude Developer Platform,,
Claude Developer Platform,Messages,Intro to Claude,https://platform.claude.com/docs/en/intro.md,,Claude Developer Platform,,
Agents & Tools,Messages,Overview,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/overview.md,MCP tunnels,Claude Developer Platform,,
Agents & Tools,Messages,Quickstart,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/quickstart.md,MCP tunnels quickstart,Claude Developer Platform,,
Agents & Tools,Messages,Overview,https://platform.claude.com/docs/en/agents-and-tools/tool-use/overview.md,Tool use with Claude,Claude Developer Platform,,
Build with Claude,Messages,Adaptive thinking,https://platform.claude.com/docs/en/build-with-claude/adaptive-thinking.md,,Claude Developer Platform,,
Agents & Tools,Messages,Advisor tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/advisor-tool.md,,Claude Developer Platform,,
Agents & Tools,Messages,Architecture and components,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/concepts.md,,Claude Developer Platform,,
Agents & Tools,Messages,Bash tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/bash-tool.md,,Claude Developer Platform,,
Build with Claude,Messages,Batch processing,https://platform.claude.com/docs/en/build-with-claude/batch-processing.md,,Claude Developer Platform,,
Build with Claude,Messages,Build an orchestration mode,https://platform.claude.com/docs/en/build-with-claude/mid-conversation-effort-example.md,,Claude Developer Platform,,
Build with Claude,Messages,Extended thinking,https://platform.claude.com/docs/en/build-with-claude/extended-thinking.md,Building with extended thinking,Claude Developer Platform,,
Build with Claude,Messages,Cache diagnostics (beta),https://platform.claude.com/docs/en/build-with-claude/cache-diagnostics.md,Cache diagnostics,Claude Developer Platform,,
Build with Claude,Messages,Citations,https://platform.claude.com/docs/en/build-with-claude/citations.md,,Claude Developer Platform,,
Build with Claude,Messages,Amazon Bedrock,https://platform.claude.com/docs/en/build-with-claude/claude-in-amazon-bedrock.md,Claude in Amazon Bedrock,Claude Developer Platform,,
Build with Claude,Messages,Microsoft Foundry,https://platform.claude.com/docs/en/build-with-claude/claude-in-microsoft-foundry.md,Claude in Microsoft Foundry,Claude Developer Platform,,
Build with Claude,Messages,Amazon Bedrock (legacy),https://platform.claude.com/docs/en/build-with-claude/claude-on-amazon-bedrock-legacy.md,Claude on Amazon Bedrock (legacy),Claude Developer Platform,,
Build with Claude,Messages,Vertex AI,https://platform.claude.com/docs/en/build-with-claude/claude-on-vertex-ai.md,Claude on Vertex AI,Claude Developer Platform,,
Build with Claude,Messages,Claude Platform on AWS,https://platform.claude.com/docs/en/build-with-claude/claude-platform-on-aws.md,,Claude Developer Platform,,
Agents & Tools,Messages,Code execution tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/code-execution-tool.md,,Claude Developer Platform,,
Build with Claude,Messages,Compaction,https://platform.claude.com/docs/en/build-with-claude/compaction.md,,Claude Developer Platform,,
Agents & Tools,Messages,Computer use tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/computer-use-tool.md,,Claude Developer Platform,,
Build with Claude,Messages,Context editing,https://platform.claude.com/docs/en/build-with-claude/context-editing.md,,Claude Developer Platform,,
Build with Claude,Messages,Context windows,https://platform.claude.com/docs/en/build-with-claude/context-windows.md,,Claude Developer Platform,,
Agents & Tools,Messages,Define tools,https://platform.claude.com/docs/en/agents-and-tools/tool-use/define-tools.md,,Claude Developer Platform,,
Agents & Tools,Messages,Deploy with Docker Compose,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/deploy-compose.md,Deploy MCP tunnels with Docker Compose,Claude Developer Platform,,
Agents & Tools,Messages,Deploy with Helm,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/deploy-helm.md,Deploy MCP tunnels with Helm,Claude Developer Platform,,
Build with Claude,Messages,Effort,https://platform.claude.com/docs/en/build-with-claude/effort.md,,Claude Developer Platform,,
